#{"t_start": 1720796808.747204, "env_id": "Walker2d-v4"}
r,l,t
1400.536697,1000,2924.646296
1110.589229,812,2940.39829
713.846268,404,2948.223475
1573.386654,1000,2970.027233
668.614349,369,2978.578443
1560.330275,1000,2998.072864
233.890071,172,3001.421886
-10.439525,140,3004.151213
1111.682153,1000,3023.984324
1474.479205,865,3042.046847
1320.186753,1000,3061.574011
482.589075,299,3067.384477
1435.642141,1000,3086.793086
934.992964,579,3098.07707
518.992621,395,3105.964872
1429.735367,1000,3125.894881
557.334972,256,3130.894199
1090.926254,459,3140.503201
337.34403,281,3146.855387
1869.519943,1000,3167.33795
1417.023722,1000,3186.960394
978.069747,414,3195.162174
1290.649374,1000,3215.181008
1440.818407,1000,3237.215965
595.758194,268,3243.360976
1425.238382,1000,3271.108498
2036.976446,863,3293.264579
1231.409063,1000,3313.024366
1884.15229,980,3332.392047
1811.488278,985,3354.150288
879.943133,518,3365.505771
1661.506395,865,3384.50389
651.340804,291,3391.887852
1270.463486,1000,3413.197026
567.718726,311,3419.284319
1375.736404,1000,3439.005355
1411.14521,1000,3458.426528
377.834011,202,3462.351171
1335.163725,739,3476.771137
1501.44916,1000,3496.803624
1079.276576,598,3509.725221
1607.149763,1000,3530.320848
1524.740111,1000,3549.866948
1740.986997,1000,3570.200316
679.428845,449,3579.062023
1606.149414,1000,3598.57103
1188.432316,949,3617.245436
1517.477398,786,3632.778534
319.67029,220,3637.081583
1463.640945,1000,3660.792555
1479.982404,1000,3684.462355
554.337973,418,3692.707592
1594.408709,879,3710.758805
1332.944578,995,3732.67311
982.363838,597,3744.341779
1585.028679,1000,3765.02991
267.66787,199,3768.908849
1236.652135,790,3785.111889
1629.658616,972,3804.769429
596.960659,355,3811.671852
631.831661,277,3817.05915
677.057132,336,3823.721486
1097.335544,621,3836.281571
1571.544488,1000,3857.923834
1177.28245,588,3874.014143
1386.212766,1000,3894.299803
849.239261,404,3902.187422
1077.410644,582,3913.542867
1338.668648,700,3927.521376
375.190684,201,3932.629407
677.755491,437,3941.803387
1023.642743,764,3957.253072
500.435161,315,3963.567737
1643.269907,1000,3983.093133
1250.662933,779,3999.330883
1706.074952,1000,4020.112085
348.917692,212,4024.238704
1443.286663,1000,4043.808945
975.632696,531,4054.556276
1406.791162,877,4074.377623
966.074343,563,4089.943868
1349.062949,838,4113.345009
863.933744,323,4122.208441
684.122466,360,4132.114162
1515.778386,1000,4159.6199
282.738251,181,4164.845558
1463.777819,1000,4192.063985
442.05432,479,4201.533239
1330.679945,888,4220.790122
1413.510579,1000,4245.522321
838.477817,457,4255.233665
1593.404034,938,4273.637698
1516.099597,1000,4293.126787
837.373928,605,4304.901595
647.849753,341,4312.310141
917.315197,411,4320.37835
1677.387317,1000,4339.905597
1569.648271,1000,4359.836542
1589.075372,901,4378.5057
1938.847176,1000,4400.478321
1181.022385,594,4413.769809
1353.425371,892,4431.174164
1722.030921,1000,4450.654301
948.936357,1000,4472.004867
1441.390562,891,4489.529013
1593.845873,1000,4509.680316
1770.192461,1000,4529.218346
1417.153745,826,4545.460756
1495.147273,1000,4565.10803
831.957521,380,4572.539497
1520.862298,1000,4592.331918
528.026795,284,4597.908707
1521.273468,1000,4617.402246
508.483303,319,4623.689198
496.311639,236,4628.33866
2056.785452,918,4646.214278
1658.459608,1000,4665.696664
605.500814,320,4671.966731
1711.828532,1000,4692.321142
690.238104,330,4700.21151
1356.729184,797,4720.175386
1515.533896,679,4735.223032
1594.426175,1000,4757.021882
1569.622238,937,4776.90163
842.967418,729,4794.866439
1508.629268,998,4819.666487
1645.376213,1000,4844.385097
1673.073785,1000,4872.203221
1726.120218,1000,4899.472674
1563.551149,821,4915.383856
540.177011,270,4920.673306
1295.786155,1000,4942.358342
1602.116559,1000,4964.540913
1358.260676,964,4984.684445
1298.099025,673,4998.994935
1900.712411,1000,5019.982489
1613.429017,1000,5039.5325
1720.188472,1000,5059.057008
1671.725583,891,5078.450853
1768.795754,1000,5099.935126
1547.638133,1000,5121.218397
1586.810793,1000,5141.382985
1448.883166,1000,5162.316454
1681.324229,1000,5181.814255
265.095228,190,5185.825498
1295.679853,750,5200.475135
1737.163448,1000,5220.028212
579.1075,388,5228.063435
1379.479521,1000,5248.48444
257.007162,232,5253.310551
1670.671809,1000,5272.839289
646.915869,340,5279.455841
1277.872406,614,5291.513155
345.923639,246,5296.311648
1910.972246,1000,5315.939815
1694.00792,1000,5335.441198
1783.562151,1000,5355.647373
1850.434828,1000,5378.332314
1790.64856,1000,5400.414109
1642.186108,1000,5421.576273
1889.920091,1000,5442.817663
1898.08239,1000,5463.896789
1818.920357,1000,5485.730767
1914.510099,1000,5507.016027
1887.324363,1000,5528.176633
1432.865832,677,5542.502421
1487.549168,692,5556.246756
1717.474974,798,5571.710267
1906.638772,1000,5591.723006
1698.417022,1000,5611.289989
1077.950306,573,5622.495035
1835.061596,1000,5642.063224
2124.318888,1000,5661.648367
713.472026,525,5671.964409
905.511775,384,5680.152961
1676.919378,1000,5701.452511
2183.167235,1000,5722.772831
2095.16825,1000,5744.442919
1697.164438,1000,5764.328919
317.733083,206,5768.327447
1685.065786,870,5785.370272
1701.225562,819,5801.402061
1284.9264,525,5811.660201
1024.444545,520,5821.821075
1178.96808,559,5833.725048
959.886769,430,5843.916253
1828.626018,1000,5866.430085
1994.661977,1000,5887.623818
1753.503987,1000,5907.148981
1915.643921,932,5926.947933
876.03763,492,5936.562197
2308.704477,1000,5956.164517
2014.138833,1000,5975.728891
2168.965424,1000,5995.187837
1119.792717,533,6007.316635
1485.514737,1000,6028.811822
231.822939,155,6031.86321
1630.464386,933,6050.501664
2009.379348,1000,6072.122855
994.174598,542,6084.942377
592.372818,358,6092.557962
2679.368973,1000,6112.756081
2013.163432,1000,6133.704012
1445.339627,673,6149.157132
1166.67926,486,6160.365176
2068.086503,1000,6179.866911
856.354887,333,6186.353813
1983.775674,1000,6206.654308
1682.780018,734,6220.952777
2296.515382,1000,6242.192189
2232.07329,1000,6268.266522
2028.109578,1000,6292.297111
2260.659329,1000,6320.152204
1937.528822,872,6344.493854
1319.539359,537,6359.335973
1333.047649,689,6378.320125
1998.919264,1000,6403.522832
1816.654046,1000,6426.075523
1992.583181,961,6449.201211
556.116391,491,6462.775912
1560.102316,1000,6489.461018
407.141093,312,6498.107931
2150.081772,1000,6527.806228
2129.220288,897,6550.866762
992.068246,592,6568.978235
1999.419624,1000,6596.891769
2347.131838,1000,6629.206551
1875.859674,1000,6662.974621
1857.509025,1000,6692.327264
1657.389818,745,6713.122527
1974.558919,1000,6742.630319
1130.663556,1000,6770.392446
565.295953,403,6780.573338
2063.467866,1000,6805.60421
1778.194735,1000,6830.73682
722.040857,360,6840.007798
2292.614565,1000,6865.609438
9.415573,172,6869.442179
1681.689664,799,6888.70084
815.154237,521,6901.26269
1500.432577,852,6923.292573
2156.245755,1000,6948.924126
1810.670078,1000,6973.617
1845.339599,1000,6994.527252
2169.973185,943,7014.379763
2399.16003,1000,7038.222086
2134.779361,1000,7063.942874
271.529076,182,7068.596342
914.996842,425,7079.675074
555.569953,340,7088.78649
1781.607703,1000,7114.390512
2010.841239,1000,7135.876673
282.65046,179,7139.639186
847.904733,379,7147.760665
2269.239601,1000,7169.722434
2182.945819,1000,7191.14806
319.518972,202,7195.40155
2179.558782,1000,7216.721007
335.384175,261,7222.240602
1702.857606,677,7238.23015
588.508321,315,7247.431987
2243.318838,1000,7276.115448
564.12188,283,7285.843292
2259.942501,1000,7313.730283
2008.209658,1000,7341.834592
1132.011442,462,7354.707972
900.374953,390,7365.942672
270.237839,183,7371.089594
1906.145565,776,7390.520479
660.173858,292,7398.143316
831.757639,497,7411.205187
1682.056312,792,7432.601768
274.65648,173,7436.952102
1738.203782,1000,7461.859267
626.632387,448,7472.986113
1829.008059,825,7496.357669
2065.955588,1000,7523.644695
613.364592,287,7532.012358
292.752481,254,7539.427708
897.356611,383,7550.342813
2037.180128,1000,7577.476634
1950.222291,1000,7605.979061
2280.99721,1000,7633.545681
2169.767386,1000,7661.027415
2284.239712,1000,7688.416578
290.981489,190,7693.661253
1711.322332,770,7713.689883
2292.798436,1000,7737.250159
2121.8141,1000,7764.572667
2301.015039,1000,7796.063871
2049.627607,813,7823.752753
2157.251982,1000,7851.71866
1042.240464,447,7865.165223
2340.242415,1000,7895.502625
2359.119123,1000,7926.267947
2316.407015,1000,7952.982894
2083.223087,832,7974.347082
2097.298164,1000,8003.063758
2164.0506,1000,8028.132717
1436.246101,597,8042.628336
2306.041781,1000,8072.622038
1080.736119,480,8086.301799
612.672929,426,8096.602763
-6.4958,81,8098.572233
1034.888825,449,8111.304232
2496.15445,958,8139.211944
2408.89889,1000,8168.652712
974.884311,391,8179.401715
2398.467667,1000,8203.239411
2273.025788,1000,8227.308263
2362.122308,1000,8251.425512
2330.794956,1000,8275.488346
2447.497062,1000,8304.224306
2795.198789,988,8327.926559
2394.733806,1000,8351.916797
2370.831423,1000,8376.683953
2486.211127,1000,8408.375915
2435.094873,1000,8438.915539
2294.993148,1000,8468.039755
2337.818974,1000,8494.00404
2531.016571,1000,8517.394298
2549.86295,1000,8541.034141
2483.757413,1000,8564.606424
-1.306245,137,8567.825181
2785.029124,998,8593.692179
2665.432055,1000,8619.559733
1334.607608,545,8634.253676
2639.16175,1000,8657.954236
