#{"t_start": 1720693212.6348329, "env_id": "Humanoid-v4"}
r,l,t
479.408491,95,2476.248059
364.281613,83,2485.363559
298.769781,67,2491.475802
256.327144,57,2497.624796
346.822854,77,2504.813681
215.949368,48,2509.617256
293.117755,64,2515.637053
373.184103,84,2522.989423
342.595501,79,2530.204821
380.446895,70,2536.131694
421.269419,76,2542.852971
475.751741,92,2551.350232
593.151305,109,2560.383992
378.146722,69,2566.273631
418.948035,77,2573.124551
367.292936,80,2579.879425
316.055332,58,2585.085591
605.827882,115,2595.611411
591.672192,118,2606.180873
416.397505,78,2612.966912
395.438344,73,2619.503801
452.04362,98,2628.20155
352.761664,66,2634.144763
322.97014,58,2639.259942
409.021645,76,2646.332221
279.919873,55,2650.958241
367.125268,67,2657.60585
459.474866,98,2666.572834
522.250896,105,2676.185253
418.905074,87,2684.169459
345.062242,66,2690.09815
673.275775,128,2701.978612
427.454725,78,2709.38919
386.568328,88,2717.332756
339.396927,75,2724.560873
420.310069,95,2733.92394
593.183418,112,2744.751085
381.902679,83,2753.010269
396.072849,75,2760.014772
454.945089,89,2767.546314
465.731729,87,2774.383159
413.629042,86,2781.883165
372.637212,74,2788.843972
391.075714,71,2794.985761
488.658477,107,2804.367589
437.214279,80,2811.264921
328.951294,62,2816.521858
468.557835,90,2824.394393
481.63252,88,2831.793821
347.854545,68,2837.466878
401.491523,71,2844.506496
377.032062,84,2852.530841
398.250242,90,2861.081015
341.325552,63,2866.785594
516.011698,107,2877.110393
681.26601,138,2889.288609
499.287997,96,2898.481834
413.744049,75,2905.445732
350.270529,65,2910.901778
429.520896,77,2917.922482
360.798762,66,2923.550681
379.565991,70,2930.902043
367.173026,69,2937.089418
537.41087,106,2946.721005
627.011544,119,2957.020843
547.658492,99,2965.527644
447.7105,83,2973.263293
448.573909,82,2979.865682
561.525479,102,2987.971742
714.048644,133,2998.969673
373.874584,71,3004.705055
244.478944,52,3009.118066
415.611291,77,3015.523078
708.45567,143,3027.379171
400.19275,90,3034.638613
430.571312,79,3041.273395
312.370104,65,3046.505009
318.114426,60,3051.564335
378.437729,71,3057.431917
395.975525,88,3064.815261
466.817008,85,3071.60063
536.631018,100,3080.130557
522.020121,98,3088.489571
441.537433,83,3095.043766
369.863584,81,3101.70543
347.202761,77,3108.406653
452.306076,83,3115.446602
367.799511,82,3122.610187
456.712886,83,3130.800835
356.866258,65,3137.570959
397.429076,72,3144.258631
497.789312,91,3152.117059
394.484053,73,3159.474579
407.606025,74,3165.723043
449.252005,82,3173.659194
593.803359,123,3185.499286
450.562466,82,3193.501311
294.211082,69,3200.608322
661.261303,130,3213.377199
544.093036,101,3223.229691
340.728359,81,3230.916618
359.073614,66,3239.676097
423.78485,78,3247.865578
347.293237,66,3257.242421
310.389686,68,3266.203886
471.965942,93,3277.404051
471.648241,101,3295.257141
564.845228,114,3308.247867
709.361071,133,3321.885585
356.662169,67,3328.832665
485.57462,90,3338.112189
439.838652,81,3346.280938
645.993133,119,3358.311487
324.967463,73,3365.888894
900.399606,173,3381.734781
557.720879,125,3394.669159
442.232238,90,3402.907003
354.948224,70,3409.581977
514.291334,101,3419.195323
531.366207,99,3430.15761
457.892514,83,3438.588017
417.271669,90,3447.181495
380.174475,71,3453.080819
497.21823,91,3461.270891
452.454981,84,3468.557087
735.282204,158,3482.45978
403.096709,76,3489.529984
355.468741,67,3495.08678
602.069305,115,3505.745438
415.225236,77,3512.943173
601.668797,126,3524.356944
479.697628,89,3533.039445
460.991945,85,3540.707062
608.952074,119,3551.496563
392.05848,84,3558.812881
608.421465,127,3570.488746
366.551149,81,3577.727143
297.713883,59,3583.473775
349.759507,71,3589.879086
381.845114,71,3596.907566
545.879315,107,3606.351658
431.25858,94,3614.432653
597.126699,112,3624.646349
486.946703,90,3632.209069
433.00815,78,3638.970272
549.461419,102,3648.377782
334.618197,74,3655.468742
393.414634,72,3661.518361
422.519683,76,3668.700109
459.191512,93,3677.092564
496.05626,90,3684.761159
522.06046,96,3693.39613
563.631513,104,3702.36762
361.569105,65,3708.542996
452.749373,82,3716.007174
334.478468,61,3721.03923
345.116014,62,3726.673083
513.7277,92,3734.857967
393.904196,71,3741.410894
508.546037,93,3750.248879
383.629007,71,3756.455526
429.679915,78,3763.053987
314.194525,59,3768.26
401.012504,88,3775.734371
510.369712,98,3783.761149
522.928116,97,3791.550887
448.288435,84,3798.83901
502.382978,94,3806.427797
763.194456,151,3819.136466
314.918899,71,3825.175432
551.170205,112,3834.535602
435.031633,81,3840.996021
609.180077,126,3851.925623
644.778379,120,3861.974258
305.082526,58,3867.076504
656.366017,125,3877.496576
349.727318,75,3883.917527
371.762814,84,3891.018134
699.607934,149,3903.890493
522.323835,98,3912.216215
352.0742,78,3918.873839
550.077282,116,3929.050344
503.783603,113,3938.988075
416.44907,76,3945.674166
393.34287,87,3953.625968
495.146003,93,3963.081814
597.263328,129,3974.996111
522.697614,100,3983.993758
534.199285,106,3993.189583
418.34975,81,4000.836957
650.642009,136,4013.059228
339.174458,62,4018.649658
404.666545,74,4024.743923
399.502588,89,4032.750903
579.223918,124,4043.965445
535.978362,99,4052.776757
507.108697,92,4060.526636
479.439996,88,4068.026594
445.684332,86,4075.869215
337.541451,63,4081.23988
617.765931,117,4091.499215
399.107214,77,4098.392616
439.494328,98,4107.680035
649.217057,139,4120.100227
612.763661,121,4131.063394
348.977988,67,4137.29784
518.945138,98,4146.674051
446.189921,83,4154.216934
572.192447,111,4164.36484
442.352283,84,4172.218139
579.292897,111,4182.274389
558.138499,123,4193.511358
443.814948,82,4200.516229
519.682531,112,4210.225849
462.429615,86,4217.671073
702.037381,142,4230.618386
644.819265,135,4244.739064
431.538567,80,4252.296086
485.988371,91,4261.397807
500.988481,92,4270.568317
411.784145,76,4278.759083
511.118434,93,4287.559144
458.582841,85,4295.37797
519.237877,97,4303.944225
478.127815,87,4312.599476
654.422094,145,4326.262898
548.251381,107,4335.906949
612.204917,122,4347.235675
423.721236,88,4355.561141
552.022768,104,4365.117308
532.709044,101,4374.261999
394.833266,75,4381.277404
429.192396,81,4389.287
393.568785,74,4398.076813
537.551054,100,4408.270049
576.575279,108,4419.198549
513.369756,95,4428.96513
314.631526,59,4434.445857
420.777158,83,4441.719735
537.780129,113,4451.931509
437.120432,81,4458.730283
522.813089,116,4469.17487
473.498851,91,4477.332383
316.454027,71,4483.82434
551.402202,107,4492.925909
949.730036,179,4508.31505
798.753828,155,4521.83976
486.565404,91,4529.395277
705.16872,148,4542.122954
891.289179,174,4557.422913
889.727464,179,4573.180059
501.992153,109,4582.893882
555.290698,118,4593.092419
401.323853,77,4600.140536
841.86172,167,4615.108089
456.99305,101,4624.679873
667.667195,144,4638.138552
694.859642,152,4652.245672
690.054749,148,4665.817218
463.490135,93,4673.826834
436.289624,81,4681.081337
419.405299,90,4689.398557
499.664356,112,4701.601613
292.211111,58,4708.03829
355.037504,68,4714.208051
944.19429,183,4732.813391
641.581181,122,4743.694298
1189.904887,245,4764.96767
1087.407116,216,4785.323182
517.547008,96,4794.107775
